                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.1636,                0.82977,                 1.1738,                0.78286,                0.72073,                0.79952,                0.58649,                 1.5955,                 1.3347,                 1.4616,              0.0003535,              0.0003535,              0.0003535
                     54,                 1.1499,                0.81758,                 1.1739,                 0.8545,                0.68636,                0.79269,                 0.5911,                 1.6401,                 1.2964,                 1.5336,             0.00034643,             0.00034643,             0.00034643
                     55,                 1.1265,                0.80497,                 1.1548,                0.78731,                0.71837,                  0.799,                 0.5877,                 1.6273,                 1.3012,                 1.5182,             0.00033936,             0.00033936,             0.00033936
                     56,                 1.1337,                0.80927,                 1.1508,                0.75814,                0.70796,                0.79005,                0.59742,                 1.6209,                 1.2871,                 1.5031,              0.0003323,              0.0003323,              0.0003323
                     57,                 1.1108,                0.77908,                 1.1511,                0.83049,                0.71219,                0.81301,                 0.6028,                 1.6086,                 1.2759,                 1.5041,             0.00032523,             0.00032523,             0.00032523
                     58,                 1.0929,                 0.7687,                 1.1238,                0.81686,                0.78083,                0.81988,                0.59976,                  1.624,                 1.2369,                 1.5198,             0.00031816,             0.00031816,             0.00031816
                     59,                 1.0987,                0.76176,                 1.1326,                0.79086,                0.67669,                0.78971,                0.58692,                 1.6319,                 1.3011,                 1.5386,             0.00031109,             0.00031109,             0.00031109
                     60,                 1.0837,                0.75065,                 1.1314,                0.78479,                0.71682,                0.80611,                0.60156,                 1.6033,                 1.2784,                  1.507,             0.00030402,             0.00030402,             0.00030402
                     61,                 1.0836,                0.74071,                 1.1216,                0.79528,                0.73046,                0.80737,                0.60482,                 1.6229,                 1.2404,                 1.5158,             0.00029695,             0.00029695,             0.00029695
                     62,                 1.0764,                0.73778,                 1.1171,                0.79183,                0.73253,                0.82001,                0.62188,                 1.6146,                 1.2398,                 1.5365,             0.00028988,             0.00028988,             0.00028988
                     63,                 1.1073,                 0.7395,                 1.1287,                0.77484,                0.73087,                 0.8212,                0.61868,                 1.6034,                  1.242,                 1.5048,             0.00028282,             0.00028282,             0.00028282
                     64,                 1.0705,                0.71619,                 1.1235,                0.76863,                0.74311,                0.80219,                0.60925,                 1.6068,                 1.2589,                 1.5188,             0.00027575,             0.00027575,             0.00027575
                     65,                 1.0632,                0.71221,                 1.1124,                0.82513,                0.70121,                0.80734,                0.61278,                 1.6092,                 1.2494,                  1.515,             0.00026868,             0.00026868,             0.00026868
