                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.19319,                0.20995,                  0.769,                0.80651,                0.59595,                0.71997,                0.54345,                 1.7931,                 1.7173,                 2.0526,             0.00020506,             0.00020506,             0.00020506
                     75,                0.18838,                0.20452,                0.76789,                0.81617,                0.61501,                0.72101,                 0.5496,                  1.791,                 1.6631,                  2.054,             0.00019799,             0.00019799,             0.00019799
                     76,                0.18624,                0.20715,                0.76776,                0.78622,                0.59532,                  0.716,                0.54454,                 1.7941,                 1.6934,                 2.0625,             0.00019092,             0.00019092,             0.00019092
                     77,                0.17962,                0.20037,                0.76865,                0.80852,                0.58401,                0.71413,                0.54046,                 1.7932,                 1.7548,                 2.0574,             0.00018385,             0.00018385,             0.00018385
                     78,                0.17832,                0.20007,                0.76654,                0.81804,                0.58358,                0.71121,                0.53971,                  1.786,                 1.7087,                 2.0604,             0.00017679,             0.00017679,             0.00017679
                     79,                0.17489,                0.19813,                0.76664,                0.83143,                0.56511,                0.71139,                 0.5433,                 1.7741,                   1.67,                 2.0407,             0.00016972,             0.00016972,             0.00016972
                     80,                0.16997,                0.19655,                 0.7666,                0.78329,                0.59767,                0.72393,                0.54748,                 1.7913,                 1.7052,                 2.0759,             0.00016265,             0.00016265,             0.00016265
                     81,                0.16521,                0.19332,                0.76627,                0.85511,                0.56688,                0.72541,                0.54462,                 1.7848,                 1.7403,                 2.0753,             0.00015558,             0.00015558,             0.00015558
                     82,                0.16348,                0.19112,                0.76532,                0.84946,                0.57738,                0.71848,                0.55104,                 1.7849,                  1.709,                  2.052,             0.00014851,             0.00014851,             0.00014851
                     83,                0.15832,                0.18952,                0.76479,                0.86719,                 0.5743,                0.72285,                0.55068,                 1.7861,                 1.7562,                 2.0747,             0.00014144,             0.00014144,             0.00014144
                     84,                0.15767,                0.18741,                0.76453,                0.85646,                0.56609,                0.71608,                0.54356,                 1.7872,                 1.7172,                 2.0715,             0.00013437,             0.00013437,             0.00013437
                     85,                0.15533,                0.18692,                0.76423,                0.79461,                0.59241,                0.71849,                0.54334,                   1.78,                 1.7169,                 2.0738,             0.00012731,             0.00012731,             0.00012731
